步枪	bou7 ciên1
步伐	bou7 huêg8
步兵	bou7 bian1
布置	bu3 di3
布告	bu3 gao3
不自量力	bug4 ze6 liang6 lag8
不知所措	bug4 zai1 so2 cu3
不择手段	bug4 doh8 ciu2 deng7
不学无术	bug4 hag8 bho5 sug8
不修边幅	bug4 siu1 biêng1 bag4
不同凡响	bug4 dang5 huam5 hiang2
不速之客	bug4 sog4 ze1 kêh4
不识抬举	bug4 sêg4 tai5 ge2
不胜枚举	bug4 sêng1 bhuê5 ge2
不容置喙	bug4 iong5 di3 hui3
不情之请	bug4 cêng5 ze1 cian2
不平则鸣	bug4 pêng5 zêg4 mêng5
不谋而合	bug4 mou5 re5 hah8
不可言宣	bug4 ko2 ngang5 suêng1
不可思议	bug4 ko2 se1 ngi2
不可磨灭	bug4 ko2 bhua5 mig8
不可名状	bug4 ko2 mian5 zuang6
不可救药	bug4 ko2 giu3 iêh8
不堪一击	bug4 kam1 zêg8 kêg4
不拘小节	bug4 ku1 siou2 zag4
不胫而走	bug4 gên3 re5 zao2
不见经传	bug4 giêng3 gian1 deng7
不合时宜	bug4 hah8 si5 ngi5
不关痛痒	bug4 guêng1 tong3 iang6
不共戴天	bug4 gang7 dai3 tiêng1
不甘示弱	bug4 gam1 si7 riag8
不甘寂寞	bug4 gam1 sog4 mog8
不甘后人	bug4 gam1 ao6 nang5
不分皂白	bug4 hung1 zao6 bêh8
不分轩轾	bug4 hung1 heng1 diêg4
不二法门	bug4 ri6 huab4 mung5
不动声色	bug4 dong6 sian1 sêg4
不打自招	bug4 da2 ze6 ziê1
不耻下问	bug4 ci2 hia6 mung7
不成体统	bug4 sêng5 ti2 tong2
不败之地	bug4 bai7 ze1 di7
不白之冤	bug4 bêh8 ze1 uêng1
我是普宁人	ua2 si6 pou2 lêng5 nang5
我是普宁囝	ua2 si6 pou2 lêng5 gian2
不朽	bug4 hiun2
不肖	bug4 sieu6
不法	bug4 huab4
不错	bug4 co3
不测	bug4 cêg4
不便	bug4 biêng6
部队	bou6 dui7
部署	bou6 su2
部门	bou6 mung5
部首	bou6 siu2
部落	bou6 loh8
捕风捉影	bu6 huang1 cog4 ian2
补偏救弊	bou2 piêng1 giu3 bi7
补奶	bou2 ni1
补助	bou2 zo6
补遗	bou2 rui6
补品	bou2 bing2
补票	bou2 piê3
补救	bou2 giu3
补贴	bou2 tieb4
补考	bou2 kao2
补养	bou2 iang2
补给	bou2 gib4
补充	bou2 cong1
跛鳖千里	po2 bih4 coin1 li2
薄弱	boh8 riag8
薄幸	bo5 hêng6
薄情	boh8 cêng5
薄命	boh8 mian7
博学多才	pag4 hag8 do1 cai5
博古通今	pag4 gou2 tong1 gim1
博大精深	pag4 dai6 zêng1 cim1
博学	pag4 hag8
伯乐	bêg4 lag8
博士	pag4 se6
伯仲之间	bêg4 dong6 ze1 gang1
玻璃	bo1 li5
波纹	bo1 bhung5
波水	bo1 zui2
波段	bo1 deng7
波幅	bo1 bag4
波动	bo1 dong6
播音	bua3 im1
拨乱反正	buah4 luêng6 huêng2 zian3
拨款	puah4 kuêng2
病入膏肓	bên7 rib8 go1 huang1
病从口入	bên7 cong5 kao2 rib8
病假	bên7 gian2
病床	bên7 ceng5
病情	bên7 cêng5
饼干	bian2 guan1
并驾齐驱	bêng6 gê3 ci5 ku1
兵荒马乱	bian1 huang1 bhê2 luêng6
兵不厌诈	bian1 bug4 iem3 za3
兵站	bian1 zam6
兵营	bian1 ian5
兵役	bian1 hiah8
兵法	bian1 huab4
兵船	bian1 zung5
兵变	bian1 biêng3
癞瘑鱼	lai3 go1 he5
马拉松	bhê2 la1 song5
冰消瓦解	bian1 sieu1 hia6 goi2
冰鞋	bian1 oi5
冰天雪地	bian1 tiêng1 soh4 di7
冰川	bian1 cuêng1
冰库	bian1 kou3
冰箱	bian1 siên1
表示	bieu2 si7
表情	bieu2 cêng5
表达	bieu2 dag8
表格	bieu2 gêh4
表册	bieu2 cêh4
标新立异	pieu1 sing1 lib8 i6
标准	pieu1 zung2
标语	pieu1 ghe2
标签	pieu1 ciem1
标点	pieu1 diem2
标本	pieu1 bung2
遍体鳞伤	biêng3 ti2 ling5 siên1
便宜行事	biêng6 ngi5 gian5 se7
便服	biêng6 hog8
便利	biêng6 li6
便秘	biêng6 bi3
变生肘腋	biêng3 sên1 diu2 êg8
变幻莫测	biêng3 huêng3 mog8 cêg4
变本加厉	biêng3 bung2 gia1 li6
变化无常	biêng3 huê3 bho5 siên5
变化	biêng3 huê3
变更	biêng3 gêng1
变动	biêng3 dong6
变调	biêng3 dieu7
辩论	biêng6 lung6
辩护	biêng6 hu6
贬值	ping2 dag8
扁豆	biêng2 dao7
扁担	biêng2 dan1
边缘	biêng1 uêng5
鞭长莫及	biêng1 ciang5 mog8 gib8
编撰	piêng1 zuêng6
编制	piêng1 zi3
编织	piêng1 zig4
编写	piêng1 sia2
编排	piêng1 bai5
编目	piêng1 mag8
编辑	piêng1 cib4
壁炉	biah4 lou5
壁报	biah4 bo3
避重就轻	bi7 dong6 ziu6 king1
避孕	bi7 hêng6
避暑	bi7 su2
避难	bi7 lang7
避免	bi7 miêng2
避忌	bi7 gi6
避讳	bi7 hui3
筚路蓝缕	big8 lou7 lam5 lu2
毕业	big8 ngieb8
必恭必敬	big4 giong1 big4 gêng3
必需	big4 su1
必要	big4 ieu3
必修课	big4 siu1 kuê3
必修	big4 siu1
必须	big4 su1
敝帚自珍	bi6 siu2 ze6 diêng1
闭月羞花	bi6 ghuêh8 siu1 huê1
闭门思过	bi6 mung5 se1 guê3
闭关自守	bi6 guêng1 ze6 siu2
合喙	hab8 cui3
闭目	bi6 mag8
闭口	bi6 kao2
闭幕	bi6 mo6
闭会	bi6 huê6
比比皆是	bi2 bi2 gai1 si6
比重	bi2 dong6
比喻	bi2 ru6
比武	bi2 bhu2
比邻	bi2 ling5
比率	bi2 lug8
比较	bi2 ga3
比如	bi2 ru5
比例	bi2 li7
比方	bi2 huang1
笔者	big4 zia2
笔战	big4 ziêng3
笔试	big4 ci3
笔迹	big4 ziah4
笔法	big4 huab4
笔触	big4 cog4
鄙视	pi3 si6
鄙陋	pi3 lou6
鼻炎	pin7 iem7
逼上梁山	bêg4 ziên6 niên5 suan1
逼真	bêg4 zing1
逼近	bêg4 geng6
逼供	bêg4 gêng1
崩溃	bang1 kui6
笨拙	bung2 cuêg4
笨重	bung2 dong6
本末倒置	bung2 muêg8 dao2 di3
本能	bung2 lêng5
本意	bung2 i3
本性	bung2 sên3
本领	bung2 nian2
大专	dai6 zuêng1
专科	zuêng1 kuê1
本科	bung2 kuê1
本金	bung2 gim1
本行	bung2 hang5
本分	bung2 hung7
奔走	bung1 zao2
奔丧	bung1 seng1
奔波	bung1 bo1
罪犯	zuê6 huam6
有罪	u6 zuê6
无罪	bho5 zuê6
法律	huab4 lug8
律师	lug8 se1
法院	huab4 in7
被告	bi6 gao3
被动	bi6 dong6
背信弃义	buê3 sing3 ki3 ngi6
背井离乡	buê3 zên2 li5 hiên1
悲喜交集	bui1 hi2 gao1 zib8
悲喜交加	bui1 hi2 gao1 gia1
悲天悯人	bui1 tiêng1 miêng2 ring5
悲欢离合	bui1 huan1 li5 hah8
悲壮	bui1 zang3
悲情	bui1 cêng5
悲愤	bui1 hung3
悲哀	bui1 ai1
保藏	bo2 cang5
卑躬屈膝	bui1 giong1 kug4 cêg4
卑贱	bui1 zuan7
卑鄙	bui1 pi3
杯水车薪	buê1 zui2 cia1 zing1
杯盘狼藉	buê1 buan5 lang5 zia6
杯弓蛇影	buê1 gêng1 zua5 ian2
鲍鱼	bao6 he5
抱歉	pao6 kiem2
抱负	pao6 hu6
暴跳如雷	bao6 tieu3 ru5 lui5
暴露	bao6 lou3
暴动	bao6 dong6
报考	bo3 kao2
报数	bo3 sieu3
报道	bo3 dao6
报到	bo3 gao3
报名	bo3 mian5
报警	bo3 gêng6
报馆	bo3 guêng2
报酬	bo3 ciu5
报仇	bo3 ciu5
饱以老拳	ba2 in2 lao6 kung5
饱食终日	ba2 ziah8 zong1 rig8
饱经风霜	ba2 gêng1 huang1 seng1
饱和	ba2 hua5
保障	bo2 ziang3
保留	bo2 liu5
保守	bo2 siu2
保管	bo2 guêng2
保持	bo2 ti5
